manifold_metric,clinical_score,rho,p,n
geodesic_length,FOIS,-0.7,0.0,35
geodesic_length,MBSImP_oral,0.733,0.0,35
geodesic_length,MBSImP_pharyngeal,0.663,0.0,35
geodesic_length,PAS,0.697,0.0,35
mean_curvature,FOIS,-0.726,0.0,35
mean_curvature,MBSImP_oral,0.698,0.0,35
mean_curvature,MBSImP_pharyngeal,0.64,0.0,35
mean_curvature,PAS,0.794,0.0,35
peak_velocity,FOIS,-0.764,0.0,35
peak_velocity,MBSImP_oral,0.751,0.0,35
peak_velocity,MBSImP_pharyngeal,0.755,0.0,35
peak_velocity,PAS,0.806,0.0,35
smoothness_index,FOIS,0.799,0.0,35
smoothness_index,MBSImP_oral,-0.785,0.0,35
smoothness_index,MBSImP_pharyngeal,-0.734,0.0,35
smoothness_index,PAS,-0.772,0.0,35
bottleneck_score,FOIS,0.783,0.0,35
bottleneck_score,MBSImP_oral,-0.798,0.0,35
bottleneck_score,MBSImP_pharyngeal,-0.75,0.0,35
bottleneck_score,PAS,-0.802,0.0,35
synchrony_risk,FOIS,0.629,0.0001,35
synchrony_risk,MBSImP_oral,-0.573,0.0003,35
synchrony_risk,MBSImP_pharyngeal,-0.543,0.0007,35
synchrony_risk,PAS,-0.616,0.0001,35
